2015-10-20 00:40:08,890 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:40:08,891 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:40:08,902 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:41:16,231 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:41:16,333 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:41:16,343 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:41:16,361 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:41:34,452 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:41:34,501 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:41:34,533 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:41:34,573 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:42:26,076 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:42:26,091 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:42:26,098 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:42:26,112 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:42:42,326 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-10-20 00:42:53,022 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Jai\Documents\GitHub\InterviewQuestion\OptimalPartitioner
2015-10-20 00:42:53,027 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-10-20 00:44:37,920 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:44:37,927 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:44:37,934 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:44:37,949 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:44:54,166 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-10-20 00:44:54,229 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Jai\Documents\GitHub\InterviewQuestion\OptimalPartitioner
2015-10-20 00:44:54,229 [Worker-27] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-10-20 00:46:54,345 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:46:54,433 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:46:54,443 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:46:54,460 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:47:05,782 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-10-20 00:47:05,867 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Jai\Documents\GitHub\InterviewQuestion\OptimalPartitioner
2015-10-20 00:47:05,883 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-10-20 00:49:28,412 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:49:28,448 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:49:28,467 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:49:28,496 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:50:13,471 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:50:13,479 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:50:13,491 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:50:13,503 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:50:14,519 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:50:14,524 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:50:14,532 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:50:14,542 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:51:04,905 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2015-10-20 00:51:04,972 [Worker-31] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\Jai\Documents\GitHub\InterviewQuestion\OptimalPartitioner
2015-10-20 00:51:04,986 [Worker-31] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-10-20 00:57:19,597 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:57:19,631 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:57:19,660 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:57:19,694 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 00:59:27,600 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:59:27,620 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 00:59:27,621 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 00:59:27,643 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-20 01:05:03,148 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-20 01:05:03,166 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-10-20 01:05:03,175 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
